,date,unit,accu,change_rate,accu_qfq
0,2012-05-04,1.007,1.007,,2.3253
1,2012-05-11,2.637,0.978,-2.86,2.2583
2,2012-05-18,2.574,0.955,-2.39,2.2052
3,2012-05-21,2.588,0.96,0.54,2.2168
4,2012-05-25,2.574,0.955,-0.54,2.2052
5,2012-05-28,2.615,0.97,1.59,2.2399
6,2012-05-29,2.652,0.984,1.41,2.2722
7,2012-05-30,2.643,0.98,-0.34,2.2629
8,2012-05-31,2.635,0.977,-0.3,2.256
9,2012-06-01,2.636,0.978,0.04,2.2583
10,2012-06-04,2.563,0.951,-2.77,2.196
11,2012-06-05,2.563,0.951,0.0,2.196
12,2012-06-06,2.562,0.95,-0.04,2.1937
13,2012-06-07,2.55,0.946,-0.47,2.1844
14,2012-06-08,2.533,0.94,-0.67,2.1706
15,2012-06-11,2.568,0.953,1.38,2.2006
16,2012-06-12,2.551,0.946,-0.66,2.1844
17,2012-06-13,2.592,0.962,1.61,2.2214
18,2012-06-14,2.574,0.955,-0.69,2.2052
19,2012-06-15,2.583,0.958,0.35,2.2121
20,2012-06-18,2.596,0.963,0.5,2.2237
21,2012-06-19,2.574,0.955,-0.85,2.2052
22,2012-06-20,2.57,0.953,-0.16,2.2006
23,2012-06-21,2.531,0.939,-1.52,2.1683
24,2012-06-25,2.478,0.919,-2.09,2.1221
25,2012-06-26,2.481,0.92,0.12,2.1244
26,2012-06-27,2.473,0.917,-0.32,2.1175
27,2012-06-28,2.452,0.91,-0.85,2.1013
28,2012-06-29,2.487,0.923,1.43,2.1313
29,2012-06-30,2.487,0.923,0.0,2.1313
30,2012-07-02,2.492,0.924,0.2,2.1336
31,2012-07-03,2.495,0.926,0.12,2.1382
32,2012-07-04,2.492,0.924,-0.12,2.1336
33,2012-07-05,2.46,0.913,-1.28,2.1082
34,2012-07-06,2.503,0.928,1.75,2.1429
35,2012-07-09,2.447,0.908,-2.24,2.0967
36,2012-07-10,2.438,0.904,-0.37,2.0874
37,2012-07-11,2.457,0.911,0.78,2.1036
38,2012-07-12,2.481,0.92,0.98,2.1244
39,2012-07-13,2.483,0.921,0.08,2.1267
40,2012-07-16,2.433,0.903,-2.01,2.0851
41,2012-07-17,2.447,0.908,0.58,2.0967
42,2012-07-18,2.447,0.908,0.0,2.0967
43,2012-07-19,2.458,0.912,0.45,2.1059
44,2012-07-20,2.432,0.902,-1.06,2.0828
45,2012-07-23,2.399,0.89,-1.36,2.0551
46,2012-07-24,2.409,0.894,0.42,2.0644
47,2012-07-25,2.393,0.888,-0.66,2.0505
48,2012-07-26,2.381,0.883,-0.5,2.039
